***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for ALUMINUMOXIDE (ICRU #106)
* given in keV/µm!
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.keV.um
1 4.90E-02 2.07E+02
1 5.08E-02 2.08E+02
1 5.28E-02 2.09E+02
1 5.47E-02 2.10E+02
1 5.68E-02 2.11E+02
1 5.89E-02 2.12E+02
1 6.12E-02 2.13E+02
1 6.35E-02 2.14E+02
1 6.58E-02 2.14E+02
1 6.83E-02 2.15E+02
1 7.09E-02 2.15E+02
1 7.35E-02 2.15E+02
1 7.63E-02 2.15E+02
1 7.92E-02 2.15E+02
1 8.22E-02 2.15E+02
1 8.52E-02 2.15E+02
1 8.84E-02 2.15E+02
1 9.18E-02 2.14E+02
1 9.52E-02 2.13E+02
1 9.88E-02 2.13E+02
1 1.03E-01 2.12E+02
1 1.06E-01 2.11E+02
1 1.10E-01 2.10E+02
1 1.15E-01 2.09E+02
1 1.19E-01 2.07E+02
1 1.23E-01 2.06E+02
1 1.28E-01 2.04E+02
1 1.33E-01 2.03E+02
1 1.38E-01 2.01E+02
1 1.43E-01 1.99E+02
1 1.48E-01 1.97E+02
1 1.54E-01 1.95E+02
1 1.60E-01 1.93E+02
1 1.66E-01 1.91E+02
1 1.72E-01 1.89E+02
1 1.78E-01 1.86E+02
1 1.85E-01 1.84E+02
1 1.92E-01 1.82E+02
1 1.99E-01 1.79E+02
1 2.07E-01 1.77E+02
1 2.15E-01 1.74E+02
1 2.23E-01 1.71E+02
1 2.31E-01 1.69E+02
1 2.40E-01 1.66E+02
1 2.49E-01 1.64E+02
1 2.58E-01 1.61E+02
1 2.68E-01 1.58E+02
1 2.78E-01 1.56E+02
1 2.88E-01 1.53E+02
1 2.99E-01 1.51E+02
1 3.10E-01 1.48E+02
1 3.22E-01 1.45E+02
1 3.34E-01 1.43E+02
1 3.47E-01 1.40E+02
1 3.60E-01 1.38E+02
1 3.73E-01 1.35E+02
1 3.87E-01 1.32E+02
1 4.02E-01 1.30E+02
1 4.17E-01 1.27E+02
1 4.32E-01 1.25E+02
1 4.49E-01 1.23E+02
1 4.66E-01 1.20E+02
1 4.83E-01 1.18E+02
1 5.01E-01 1.15E+02
1 5.20E-01 1.13E+02
1 5.40E-01 1.11E+02
1 5.60E-01 1.09E+02
1 5.81E-01 1.06E+02
1 6.03E-01 1.04E+02
1 6.25E-01 1.02E+02
1 6.49E-01 9.97E+01
1 6.73E-01 9.76E+01
1 6.99E-01 9.55E+01
1 7.25E-01 9.34E+01
1 7.52E-01 9.13E+01
1 7.80E-01 8.93E+01
1 8.10E-01 8.73E+01
1 8.40E-01 8.53E+01
1 8.72E-01 8.33E+01
1 9.04E-01 8.14E+01
1 9.38E-01 7.95E+01
1 9.74E-01 7.76E+01
1 1.01E+00 7.45E+01
1 1.05E+00 7.27E+01
1 1.09E+00 7.09E+01
1 1.13E+00 6.91E+01
1 1.17E+00 6.74E+01
1 1.22E+00 6.57E+01
1 1.26E+00 6.41E+01
1 1.31E+00 6.25E+01
1 1.36E+00 6.09E+01
1 1.41E+00 5.93E+01
1 1.46E+00 5.78E+01
1 1.52E+00 5.63E+01
1 1.57E+00 5.48E+01
1 1.63E+00 5.34E+01
1 1.69E+00 5.20E+01
1 1.76E+00 5.06E+01
1 1.82E+00 4.93E+01
1 1.89E+00 4.80E+01
1 1.96E+00 4.67E+01
1 2.04E+00 4.55E+01
1 2.11E+00 4.43E+01
1 2.19E+00 4.31E+01
1 2.27E+00 4.20E+01
1 2.36E+00 4.09E+01
1 2.45E+00 3.99E+01
1 2.54E+00 3.88E+01
1 2.64E+00 3.78E+01
1 2.73E+00 3.69E+01
1 2.84E+00 3.59E+01
1 2.94E+00 3.50E+01
1 3.05E+00 3.41E+01
1 3.17E+00 3.32E+01
1 3.29E+00 3.23E+01
1 3.41E+00 3.15E+01
1 3.54E+00 3.07E+01
1 3.67E+00 2.98E+01
1 3.81E+00 2.91E+01
1 3.95E+00 2.83E+01
1 4.10E+00 2.75E+01
1 4.25E+00 2.68E+01
1 4.41E+00 2.61E+01
1 4.58E+00 2.54E+01
1 4.75E+00 2.47E+01
1 4.93E+00 2.40E+01
1 5.11E+00 2.34E+01
1 5.31E+00 2.28E+01
1 5.51E+00 2.21E+01
1 5.71E+00 2.15E+01
1 5.93E+00 2.09E+01
1 6.15E+00 2.04E+01
1 6.38E+00 1.98E+01
1 6.62E+00 1.93E+01
1 6.86E+00 1.87E+01
1 7.12E+00 1.82E+01
1 7.39E+00 1.77E+01
1 7.67E+00 1.72E+01
1 7.95E+00 1.68E+01
1 8.25E+00 1.63E+01
1 8.56E+00 1.58E+01
1 8.88E+00 1.54E+01
1 9.21E+00 1.50E+01
1 9.56E+00 1.45E+01
1 9.91E+00 1.41E+01
1 1.03E+01 1.37E+01
1 1.07E+01 1.34E+01
1 1.11E+01 1.30E+01
1 1.15E+01 1.26E+01
1 1.19E+01 1.23E+01
1 1.24E+01 1.19E+01
1 1.28E+01 1.16E+01
1 1.33E+01 1.13E+01
1 1.38E+01 1.09E+01
1 1.43E+01 1.06E+01
1 1.48E+01 1.03E+01
1 1.54E+01 1.00E+01
1 1.60E+01 9.74E+00
1 1.66E+01 9.47E+00
1 1.72E+01 9.20E+00
1 1.78E+01 8.94E+00
1 1.85E+01 8.68E+00
1 1.92E+01 8.43E+00
1 1.99E+01 8.19E+00
1 2.06E+01 7.96E+00
1 2.14E+01 7.74E+00
1 2.22E+01 7.52E+00
1 2.30E+01 7.30E+00
1 2.39E+01 7.09E+00
1 2.48E+01 6.89E+00
1 2.57E+01 6.70E+00
1 2.66E+01 6.51E+00
1 2.76E+01 6.32E+00
1 2.86E+01 6.14E+00
1 2.97E+01 5.97E+00
1 3.08E+01 5.80E+00
1 3.19E+01 5.64E+00
1 3.31E+01 5.48E+00
1 3.43E+01 5.32E+00
1 3.56E+01 5.17E+00
1 3.69E+01 5.03E+00
1 3.83E+01 4.89E+00
1 3.97E+01 4.75E+00
1 4.11E+01 4.62E+00
1 4.27E+01 4.49E+00
1 4.42E+01 4.36E+00
1 4.58E+01 4.24E+00
1 4.75E+01 4.12E+00
1 4.93E+01 4.01E+00
1 5.11E+01 3.90E+00
1 5.29E+01 3.79E+00
1 5.49E+01 3.69E+00
1 5.69E+01 3.58E+00
1 5.90E+01 3.49E+00
1 6.11E+01 3.39E+00
1 6.33E+01 3.30E+00
1 6.56E+01 3.21E+00
1 6.80E+01 3.12E+00
1 7.05E+01 3.04E+00
1 7.30E+01 2.96E+00
1 7.57E+01 2.88E+00
1 7.84E+01 2.80E+00
1 8.13E+01 2.73E+00
1 8.42E+01 2.66E+00
1 8.72E+01 2.59E+00
1 9.03E+01 2.52E+00
1 9.36E+01 2.46E+00
1 9.69E+01 2.39E+00
1 1.00E+02 2.33E+00
1 1.04E+02 2.27E+00
1 1.08E+02 2.22E+00
1 1.12E+02 2.16E+00
1 1.16E+02 2.11E+00
1 1.20E+02 2.06E+00
1 1.24E+02 2.01E+00
1 1.28E+02 1.96E+00
1 1.33E+02 1.91E+00
1 1.37E+02 1.86E+00
1 1.42E+02 1.82E+00
1 1.47E+02 1.78E+00
1 1.52E+02 1.74E+00
1 1.58E+02 1.70E+00
1 1.63E+02 1.66E+00
1 1.69E+02 1.62E+00
1 1.75E+02 1.59E+00
1 1.81E+02 1.55E+00
1 1.87E+02 1.52E+00
1 1.93E+02 1.48E+00
1 2.00E+02 1.45E+00
1 2.07E+02 1.42E+00
1 2.14E+02 1.39E+00
1 2.21E+02 1.36E+00
1 2.29E+02 1.34E+00
1 2.36E+02 1.31E+00
1 2.44E+02 1.28E+00
1 2.53E+02 1.26E+00
1 2.61E+02 1.24E+00
1 2.70E+02 1.21E+00
1 2.79E+02 1.19E+00
1 2.88E+02 1.17E+00
1 2.98E+02 1.15E+00
1 3.07E+02 1.13E+00
1 3.17E+02 1.11E+00
1 3.28E+02 1.09E+00
1 3.38E+02 1.07E+00
1 3.49E+02 1.05E+00
1 3.61E+02 1.04E+00
1 3.72E+02 1.02E+00
1 3.84E+02 1.01E+00
1 3.97E+02 9.90E-01
1 4.09E+02 9.75E-01
1 4.22E+02 9.61E-01
1 4.36E+02 9.48E-01
1 4.49E+02 9.35E-01
1 4.63E+02 9.22E-01
1 4.78E+02 9.10E-01
1 4.93E+02 8.98E-01
1 5.08E+02 8.87E-01
1 5.24E+02 8.76E-01
1 5.40E+02 8.66E-01
1 5.56E+02 8.56E-01
1 5.73E+02 8.46E-01
1 5.90E+02 8.36E-01
1 6.08E+02 8.27E-01
1 6.27E+02 8.19E-01
1 6.45E+02 8.11E-01
1 6.64E+02 8.03E-01
1 6.84E+02 7.95E-01
1 7.04E+02 7.88E-01
1 7.25E+02 7.80E-01
1 7.46E+02 7.74E-01
1 7.68E+02 7.67E-01
1 7.90E+02 7.61E-01
1 8.13E+02 7.55E-01
1 8.36E+02 7.49E-01
1 8.60E+02 7.44E-01
1 8.85E+02 7.39E-01
1 9.10E+02 7.33E-01
1 9.35E+02 7.29E-01
1 9.61E+02 7.24E-01
1 9.88E+02 7.20E-01
1 1.02E+03 7.16E-01
1 1.04E+03 7.12E-01
1 1.07E+03 7.08E-01
1 1.10E+03 7.04E-01
1 1.13E+03 7.01E-01
1 1.16E+03 6.97E-01
1 1.19E+03 6.94E-01
1 1.23E+03 6.91E-01
1 1.26E+03 6.88E-01
1 1.29E+03 6.86E-01
1 1.33E+03 6.83E-01
1 1.36E+03 6.81E-01
1 1.40E+03 6.79E-01
1 1.43E+03 6.76E-01
1 1.47E+03 6.74E-01
1 1.51E+03 6.73E-01
1 1.55E+03 6.71E-01
1 1.59E+03 6.69E-01
1 1.63E+03 6.68E-01
1 1.67E+03 6.66E-01
1 1.71E+03 6.65E-01
1 1.76E+03 6.64E-01
1 1.80E+03 6.62E-01
1 1.85E+03 6.61E-01
1 1.89E+03 6.60E-01
1 1.94E+03 6.60E-01
1 1.99E+03 6.59E-01
1 2.03E+03 6.58E-01
1 2.08E+03 6.57E-01
1 2.14E+03 6.57E-01
1 2.19E+03 6.56E-01
1 2.24E+03 6.56E-01
1 2.29E+03 6.56E-01
1 2.35E+03 6.55E-01
1 2.41E+03 6.55E-01
1 2.46E+03 6.55E-01
1 2.52E+03 6.55E-01
1 2.58E+03 6.55E-01
1 2.64E+03 6.55E-01
1 2.71E+03 6.55E-01
1 2.77E+03 6.55E-01
1 2.83E+03 6.55E-01
1 2.90E+03 6.55E-01
1 2.97E+03 6.55E-01
1 3.03E+03 6.56E-01
1 3.10E+03 6.56E-01
1 3.18E+03 6.56E-01
1 3.25E+03 6.57E-01
1 3.32E+03 6.57E-01
1 3.40E+03 6.58E-01
1 3.48E+03 6.58E-01
1 3.55E+03 6.59E-01
1 3.63E+03 6.59E-01
1 3.72E+03 6.60E-01
1 3.80E+03 6.60E-01
2 1.23E-02 2.26E+02
2 1.28E-02 2.31E+02
2 1.33E-02 2.37E+02
2 1.39E-02 2.42E+02
2 1.44E-02 2.47E+02
2 1.50E-02 2.53E+02
2 1.57E-02 2.58E+02
2 1.63E-02 2.64E+02
2 1.70E-02 2.70E+02
2 1.77E-02 2.76E+02
2 1.85E-02 2.81E+02
2 1.92E-02 2.87E+02
2 2.01E-02 2.93E+02
2 2.09E-02 3.00E+02
2 2.18E-02 3.06E+02
2 2.27E-02 3.12E+02
2 2.36E-02 3.18E+02
2 2.46E-02 3.24E+02
2 2.57E-02 3.31E+02
2 2.67E-02 3.37E+02
2 2.79E-02 3.43E+02
2 2.90E-02 3.50E+02
2 3.02E-02 3.56E+02
2 3.15E-02 3.62E+02
2 3.28E-02 3.69E+02
2 3.42E-02 3.75E+02
2 3.56E-02 3.81E+02
2 3.71E-02 3.88E+02
2 3.87E-02 3.94E+02
2 4.03E-02 4.01E+02
2 4.20E-02 4.07E+02
2 4.38E-02 4.13E+02
2 4.56E-02 4.19E+02
2 4.75E-02 4.26E+02
2 4.95E-02 4.32E+02
2 5.16E-02 4.38E+02
2 5.37E-02 4.44E+02
2 5.60E-02 4.50E+02
2 5.83E-02 4.57E+02
2 6.08E-02 4.63E+02
2 6.33E-02 4.68E+02
2 6.60E-02 4.74E+02
2 6.88E-02 4.80E+02
2 7.16E-02 4.86E+02
2 7.46E-02 4.92E+02
2 7.78E-02 4.97E+02
2 8.10E-02 5.03E+02
2 8.44E-02 5.08E+02
2 8.80E-02 5.13E+02
2 9.17E-02 5.18E+02
2 9.55E-02 5.23E+02
2 9.95E-02 5.28E+02
2 1.04E-01 5.32E+02
2 1.08E-01 5.36E+02
2 1.13E-01 5.40E+02
2 1.17E-01 5.44E+02
2 1.22E-01 5.48E+02
2 1.27E-01 5.51E+02
2 1.33E-01 5.54E+02
2 1.38E-01 5.57E+02
2 1.44E-01 5.59E+02
2 1.50E-01 5.61E+02
