***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for WATER, but with customized
* I-value (76.8 eV)
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.MeV.cm2.g
1 4.90E-02 7.70E+01
1 5.08E-02 7.77E+01
1 5.28E-02 7.83E+01
1 5.47E-02 7.89E+01
1 5.68E-02 7.95E+01
1 5.89E-02 8.00E+01
1 6.12E-02 8.05E+01
1 6.35E-02 8.09E+01
1 6.58E-02 8.13E+01
1 6.83E-02 8.16E+01
1 7.09E-02 8.19E+01
1 7.35E-02 8.21E+01
1 7.63E-02 8.23E+01
1 7.92E-02 8.24E+01
1 8.22E-02 8.24E+01
1 8.52E-02 8.24E+01
1 8.84E-02 8.23E+01
1 9.18E-02 8.21E+01
1 9.52E-02 8.19E+01
1 9.88E-02 8.16E+01
1 1.03E-01 8.12E+01
1 1.06E-01 8.07E+01
1 1.10E-01 8.02E+01
1 1.15E-01 7.97E+01
1 1.19E-01 7.90E+01
1 1.23E-01 7.83E+01
1 1.28E-01 7.75E+01
1 1.33E-01 7.67E+01
1 1.38E-01 7.58E+01
1 1.43E-01 7.49E+01
1 1.48E-01 7.39E+01
1 1.54E-01 7.29E+01
1 1.60E-01 7.19E+01
1 1.66E-01 7.08E+01
1 1.72E-01 6.97E+01
1 1.78E-01 6.89E+01
1 1.85E-01 6.80E+01
1 1.92E-01 6.71E+01
1 1.99E-01 6.62E+01
1 2.07E-01 6.52E+01
1 2.14E-01 6.43E+01
1 2.23E-01 6.33E+01
1 2.31E-01 6.23E+01
1 2.40E-01 6.13E+01
1 2.49E-01 6.03E+01
1 2.58E-01 5.92E+01
1 2.68E-01 5.82E+01
1 2.78E-01 5.72E+01
1 2.88E-01 5.61E+01
1 2.99E-01 5.51E+01
1 3.10E-01 5.41E+01
1 3.22E-01 5.31E+01
1 3.34E-01 5.20E+01
1 3.46E-01 5.10E+01
1 3.59E-01 5.00E+01
1 3.73E-01 4.90E+01
1 3.87E-01 4.80E+01
1 4.02E-01 4.70E+01
1 4.17E-01 4.60E+01
1 4.32E-01 4.50E+01
1 4.49E-01 4.41E+01
1 4.65E-01 4.31E+01
1 4.83E-01 4.22E+01
1 5.01E-01 4.12E+01
1 5.20E-01 4.03E+01
1 5.39E-01 3.94E+01
1 5.60E-01 3.84E+01
1 5.81E-01 3.75E+01
1 6.03E-01 3.67E+01
1 6.25E-01 3.58E+01
1 6.49E-01 3.49E+01
1 6.73E-01 3.41E+01
1 6.98E-01 3.33E+01
1 7.25E-01 3.25E+01
1 7.52E-01 3.17E+01
1 7.80E-01 3.09E+01
1 8.09E-01 3.01E+01
1 8.40E-01 2.94E+01
1 8.71E-01 2.86E+01
1 9.04E-01 2.79E+01
1 9.38E-01 2.72E+01
1 9.73E-01 2.65E+01
1 1.01E+00 2.58E+01
1 1.05E+00 2.52E+01
1 1.09E+00 2.45E+01
1 1.13E+00 2.39E+01
1 1.17E+00 2.33E+01
1 1.21E+00 2.27E+01
1 1.26E+00 2.21E+01
1 1.31E+00 2.15E+01
1 1.36E+00 2.10E+01
1 1.41E+00 2.04E+01
1 1.46E+00 1.99E+01
1 1.52E+00 1.93E+01
1 1.57E+00 1.88E+01
1 1.63E+00 1.83E+01
1 1.69E+00 1.78E+01
1 1.76E+00 1.74E+01
1 1.82E+00 1.69E+01
1 1.89E+00 1.64E+01
1 1.96E+00 1.60E+01
1 2.04E+00 1.56E+01
1 2.11E+00 1.52E+01
1 2.19E+00 1.47E+01
1 2.27E+00 1.43E+01
1 2.36E+00 1.40E+01
1 2.45E+00 1.36E+01
1 2.54E+00 1.32E+01
1 2.63E+00 1.28E+01
1 2.73E+00 1.25E+01
1 2.84E+00 1.22E+01
1 2.94E+00 1.18E+01
1 3.05E+00 1.15E+01
1 3.17E+00 1.12E+01
1 3.29E+00 1.09E+01
1 3.41E+00 1.06E+01
1 3.54E+00 1.03E+01
1 3.67E+00 9.99E+00
1 3.81E+00 9.71E+00
1 3.95E+00 9.44E+00
1 4.10E+00 9.18E+00
1 4.25E+00 8.92E+00
1 4.41E+00 8.67E+00
1 4.58E+00 8.43E+00
1 4.75E+00 8.19E+00
1 4.93E+00 7.96E+00
1 5.11E+00 7.73E+00
1 5.30E+00 7.51E+00
1 5.50E+00 7.30E+00
1 5.71E+00 7.09E+00
1 5.92E+00 6.89E+00
1 6.14E+00 6.69E+00
1 6.37E+00 6.50E+00
1 6.61E+00 6.32E+00
1 6.86E+00 6.14E+00
1 7.12E+00 5.96E+00
1 7.38E+00 5.79E+00
1 7.66E+00 5.62E+00
1 7.95E+00 5.46E+00
1 8.25E+00 5.30E+00
1 8.55E+00 5.15E+00
1 8.87E+00 5.00E+00
1 9.21E+00 4.86E+00
1 9.55E+00 4.72E+00
1 9.91E+00 4.58E+00
1 1.03E+01 4.45E+00
1 1.07E+01 4.32E+00
1 1.11E+01 4.19E+00
1 1.15E+01 4.07E+00
1 1.19E+01 3.95E+00
1 1.24E+01 3.84E+00
1 1.28E+01 3.72E+00
1 1.33E+01 3.62E+00
1 1.38E+01 3.51E+00
1 1.43E+01 3.41E+00
1 1.48E+01 3.31E+00
1 1.54E+01 3.21E+00
1 1.60E+01 3.12E+00
1 1.66E+01 3.03E+00
1 1.72E+01 2.94E+00
1 1.78E+01 2.85E+00
1 1.85E+01 2.77E+00
1 1.92E+01 2.69E+00
1 1.99E+01 2.61E+00
1 2.06E+01 2.53E+00
1 2.14E+01 2.46E+00
